NAME ,POS,GP,SAL,MIN,PTS,FG,3P,FT,AST,BLK,STL,REB,TOV, SALARY 
LaMarcus Aldridge,PF,75," $21,461,010æ(35) ",33.44,23.13,51,29.35,83.71,2.03,1.2,0.57,8.45,1.49," 21,461,010 "
Victor Oladipo,SG,75," $21,000,000æ(36) ",34.03,23.13,47.69,37.1,79.89,4.31,0.76,2.35,5.2,2.93," 21,000,000 "
Enes Kanter,C,71," $20,566,801æ(37) ",25.76,14.08,59.19,0,84.78,1.48,0.52,0.51,10.99,1.72," 20,566,801 "
Danilo Gallinari,SF,21," $20,559,599æ(38) ",31.95,15.29,39.84,32.43,93.1,2,0.48,0.57,4.81,1.24," 20,559,599 "
Serge Ibaka,PF,76," $20,061,728æ(39) ",27.57,12.62,48.34,36.03,79.66,0.82,1.3,0.38,6.29,1.18," 20,061,728 "
George Hill,PG,67," $20,000,000æ(40) ",27.04,9.96,46,41.46,78.57,2.78,0.4,0.91,2.7,1.31," 20,000,000 "
Ryan Anderson,PF,66," $19,578,454æ(41) ",26.17,9.35,43.13,38.64,77.42,0.91,0.32,0.36,5.02,0.65," 19,578,454 "
Paul George,SF,79," $19,508,958æ(42) ",36.58,21.95,42.99,40.07,82.24,3.33,0.49,2.04,5.66,2.68," 19,508,958 "
Allen Crabbe,SG,75," $19,332,500æ(43) ",29.28,13.2,40.75,37.78,85.19,1.56,0.47,0.63,4.32,1.04," 19,332,500 "
Jimmy Butler,SG,59," $19,301,070æ(44) ",36.68,22.15,47.45,35,85.41,4.88,0.41,1.97,5.34,1.83," 19,301,070 "
Jeff Teague,PG,70," $19,000,000æ(45) ",33.01,14.2,44.58,36.84,84.52,7.03,0.33,1.46,2.99,2.53," 19,000,000 "
Kyrie Irving,PG,60," $18,868,625æ(46) ",32.18,24.43,49.13,40.79,88.89,5.1,0.28,1.08,3.78,2.33," 18,868,625 "
Kawhi Leonard,SF,9," $18,868,625æ(46) ",23.22,16.22,46.85,31.43,81.58,2.33,1,2,4.67,1.78," 18,868,625 "
John Wall,PG,41," $18,063,850æ(48) ",34.37,19.44,42.04,37.13,72.61,9.59,1.1,1.39,3.66,3.88," 18,063,850 "
DeMarcus Cousins,C,48," $18,063,850æ(48) ",36.19,25.21,46.99,35.37,74.62,5.35,1.58,1.67,12.88,5.04," 18,063,850 "
Wesley Matthews,SG,63," $17,884,175æ(50) ",33.83,12.73,40.6,38.06,82.18,2.73,0.25,1.21,3.14,1.33," 17,884,175 "
